parti,nuance,1984,,1989,,1994,,1999,,2004,,2009,,2014,,2019,,2024,
,,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges
UDF - RPR - CNIP - DCF,centredroite_droite,"43,03",41,,,,,,,https://www.wikiwand.com/fr/articles/%C3%89lections_europ%C3%A9ennes_de_2004_en_France,,https://www.wikiwand.com/fr/articles/%C3%89lections_europ%C3%A9ennes_de_2009_en_France,,,,,,,
PS,centregauche_gauche,"20,76",20,,,,,,,,,,,,,,,,
PCF - PCR - UP,extremegauche_gaucheradicale,"11,21",10,,,,,,,,,,,,,,,,
FN,extremedroite_droiteradicale,"10,95",10,,,,,,,,,,,,,,,,
Les Verts - Europe écologie,centregauche_gauche,"3,37",0,,,,,,,,,,,,,,,,
UCR - MRG,centregauche_gauche,"3,32",0,,,,,,,,,,,,,,,,
LO,extremegauche_gaucheradicale,"2,07",0,,,,,,,,,,,,,,,,
UDF diss,centredroite_droite,"1,89",0,,,,,,,,,,,,,,,,
PCI,extremegauche_gaucheradicale,"0,9",0,,,,,,,,,,,,,,,,
PSU - CDU,extremegauche_gaucheradicale,"0,72",0,,,,,,,,,,,,,,,,
Union des travailleurs indépendants pour la liberté d'entreprendre,autre,"0,68",0,,,,,,,,,,,,,,,,
"Initiative 84 - Liste des jeunes entrepreneurs, l'Europe pour entreprendre",autre,"0,61",0,,,,,,,,,,,,,,,,
Liste pour les États-Unis d'Europe,autre,"0,39",0,,,,,,,,,,,,,,,,
Parti ouvrier européen,extremegauche_gaucheradicale,"0,09",0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
UDF - RPR - CNIP,centredroite_droite,,,"28,9",26,,,,,,,,,,,,,,
PS - MRG - ADD,centregauche_gauche,,,"23,63",22,,,,,,,,,,,,,,
FN,extremedroite_droiteradicale,,,"11,74",10,,,,,,,,,,,,,,
LV - UPC,centregauche_gauche,,,"10,6",9,,,,,,,,,,,,,,
UDF diss.,centredroite_droite,,,"8,38",7,,,,,,,,,,,,,,
PCF,extremegauche_gaucheradicale,,,"7,72",7,,,,,,,,,,,,,,
CPNT,autre,,,"4,13",0,,,,,,,,,,,,,,
LO,extremegauche_gaucheradicale,,,"1,43",0,,,,,,,,,,,,,,
FAA,autre,,,"1,04",0,,,,,,,,,,,,,,
L'Alliance,autre,,,"0,75",0,,,,,,,,,,,,,,
MPPT,extremegauche_gaucheradicale,,,"0,6",0,,,,,,,,,,,,,,
PCF diss.,extremegauche_gaucheradicale,,,"0,41",0,,,,,,,,,,,,,,
Génération Europe,autre,,,"0,33",0,,,,,,,,,,,,,,
POE,extremegauche_gaucheradicale,,,"0,18",0,,,,,,,,,,,,,,
IDE,autre,,,"0,17",0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
UDF - RPR,centredroite_droite,,,,,"25,57",28,,,,,,,,,,,,
PS,centregauche_gauche,,,,,"14,49",15,,,,,,,,,,,,
UDF diss. - MPF,centredroite_droite,,,,,"12,34",13,,,,,,,,,,,,
MRG - CES,centregauche_gauche,,,,,"12,03",13,,,,,,,,,,,,
FN,extremedroite_droiteradicale,,,,,"10,52",11,,,,,,,,,,,,
PCF,extremegauche_gaucheradicale,,,,,"6,89",7,,,,,,,,,,,,
CPNT,autre,,,,,"3,96",0,,,,,,,,,,,,
LV - EA,centregauche_gauche,,,,,"2,95",0,,,,,,,,,,,,
MDC,centregauche_gauche,,,,,"2,54",0,,,,,,,,,,,,
LO,extremegauche_gaucheradicale,,,,,"2,27",0,,,,,,,,,,,,
GE,autre,,,,,"2,01",0,,,,,,,,,,,,
L'Europe commence à Sarajevo,autre,,,,,"1,57",0,,,,,,,,,,,,
L'Emploi d'abord ! avec Gérard Touati,autre,,,,,"0,64",0,,,,,,,,,,,,
PLN,autre,,,,,"0,53",0,,,,,,,,,,,,
PT,extremegauche_gaucheradicale,,,,,"0,44",0,,,,,,,,,,,,
Liste régionaliste et fédéraliste - Régions et peuples solidaires,autre,,,,,"0,39",0,,,,,,,,,,,,
Démocrates pour les Etats-Unis d'Europe conduite par Armand Touati,autre,,,,,"0,36",0,,,,,,,,,,,,
Politique de vie pour l'Europe,autre,,,,,"0,3",0,,,,,,,,,,,,
Rassemblement de l'outre-mer et des minorités,autre,,,,,"0,19",0,,,,,,,,,,,,
Europe pour tous,autre,,,,,"0,01",0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PS - MDC - PRG,centregauche_gauche,,,,,,,"21,95",22,,,,,,,,,,
RPF - MPF - RPR diss.,extremedroite_droiteradicale,,,,,,,"13,05",13,,,,,,,,,,
RPR - DL - GE,centredroite_droite,,,,,,,"12,82",12,,,,,,,,,,
LV,centregauche_gauche,,,,,,,"9,72",9,,,,,,,,,,
UDF,centredroite_droite,,,,,,,"9,28",9,,,,,,,,,,
PCF,extremegauche_gaucheradicale,,,,,,,"6,78",6,,,,,,,,,,
CPNT,autre,,,,,,,"6,78",6,,,,,,,,,,
FN,extremedroite_droiteradicale,,,,,,,"5,69",5,,,,,,,,,,
LO - LCR,extremegauche_gaucheradicale,,,,,,,"5,18",5,,,,,,,,,,
MNR,extremedroite_droiteradicale,,,,,,,"3,28",0,,,,,,,,,,
RCF,autre,,,,,,,"1,77",0,,,,,,,,,,
MEI,autre,,,,,,,"1,52",0,,,,,,,,,,
USQJ,centregauche_gauche,,,,,,,"1,01",0,,,,,,,,,,
VEF,autre,,,,,,,"0,71",0,,,,,,,,,,
PLN,autre,,,,,,,"0,41",0,,,,,,,,,,
MLM,autre,,,,,,,"0,02",0,,,,,,,,,,
PH,autre,,,,,,,"0,01",0,,,,,,,,,,
SE,autre,,,,,,,"0,01",0,,,,,,,,,,
LN,autre,,,,,,,"0,01",0,,,,,,,,,,
PF,autre,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Parti socialiste,centregauche_gauche,,,,,,,,,"28,9",31,,,,,,,,
Union pour un mouvement populaire,centredroite_droite,,,,,,,,,"16,64",17,,,,,,,,
Union pour la démocratie française,centredroite_droite,,,,,,,,,"11,96",11,,,,,,,,
Front national,extremedroite_droiteradicale,,,,,,,,,"9,81",7,,,,,,,,
Divers droite,centredroite_droite,,,,,,,,,"8,84",3,,,,,,,,
Les Verts,centregauche_gauche,,,,,,,,,"7,41",6,,,,,,,,
Parti communiste français,extremegauche_gaucheradicale,,,,,,,,,"5,25",2,,,,,,,,
Divers,autre,,,,,,,,,"3,42",0,,,,,,,,
Extrême gauche,extremegauche_gaucheradicale,,,,,,,,,"3,33",0,,,,,,,,
"Chasse, pêche, nature et traditions",autre,,,,,,,,,"1,73",0,,,,,,,,
Divers gauche,centregauche_gauche,,,,,,,,,"1,35",1,,,,,,,,
Écologiste,centregauche_gauche,,,,,,,,,"0,97",0,,,,,,,,
Extrême droite,centredroite_droite,,,,,,,,,"0,31",0,,,,,,,,
Régionaliste,autre,,,,,,,,,"0,09",0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Majorité présidentielle
UMP - NC - LGM",centredroite_droite,,,,,,,,,,,"27,88",29,,,,,,
Parti socialiste,centregauche_gauche,,,,,,,,,,,"16,48",14,,,,,,
"Europe Écologie
Les Verts - R&PS",centregauche_gauche,,,,,,,,,,,"16,28",14,,,,,,
Mouvement démocrate,centredroite_droite,,,,,,,,,,,"8,46",6,,,,,,
"Front de gauche
PCF - PG - GU
Alliance des Outre-mers[103]",extremegauche_gaucheradicale,,,,,,,,,,,"6,05

0,42","4

1",,,,,,
Front national,extremedroite_droiteradicale,,,,,,,,,,,"6,34",3,,,,,,
Nouveau Parti anticapitaliste,extremegauche_gaucheradicale,,,,,,,,,,,"4,88",0,,,,,,
"Libertas
MPF - CPNT",autre,,,,,,,,,,,"4,8",1,,,,,,
"Alliance écologiste indépendante
MEI - GE - LFA",autre,,,,,,,,,,,"3,63",0,,,,,,
Debout la République,extremedroite_droiteradicale,,,,,,,,,,,"1,77",0,,,,,,
Lutte ouvrière,extremegauche_gaucheradicale,,,,,,,,,,,"1,2",0,,,,,,
Autres,autre,,,,,,,,,,,"1,81",0,,,,,,
,,,,,,,,,,,,,,,,,,,
Front national - Rassemblement bleu Marine,extremedroite_droiteradicale,,,,,,,,,,,,,"24,86",24,,,,
